# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DDVEC    = Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable); 
# FHVEC    = Vector mean windspeed (in 0.1 m/s); 
# FG       = Daily mean windspeed (in 0.1 m/s); 
# FHX      = Maximum hourly mean windspeed (in 0.1 m/s); 
# FHXH     = Hourly division in which FHX was measured; 
# FHN      = Minimum hourly mean windspeed (in 0.1 m/s); 
# FHNH     = Hourly division in which FHN was measured; 
# FXX      = Maximum wind gust (in 0.1 m/s); 
# FXXH     = Hourly division in which FXX was measured; 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# TNH      = Hourly division in which TN was measured; 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# TXH      = Hourly division in which TX was measured; 
# T10N     = Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius); 
# T10NH    = 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
# SQ       = Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour); 
# SP       = Percentage of maximum potential sunshine duration; 
# Q        = Global radiation (in J/cm2); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# PG       = Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values; 
# PX       = Maximum hourly sea level pressure (in 0.1 hPa); 
# PXH      = Hourly division in which PX was measured; 
# PN       = Minimum hourly sea level pressure (in 0.1 hPa); 
# PNH      = Hourly division in which PN was measured; 
# VVN      = Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVNH     = Hourly division in which VVN was measured; 
# VVX      = Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Hourly division in which VVX was measured; 
# NG       = Mean daily cloud cover (in octants, 9=sky invisible); 
# UG       = Daily mean relative atmospheric humidity (in percents); 
# UX       = Maximum relative atmospheric humidity (in percents); 
# UXH      = Hourly division in which UX was measured; 
# UN       = Minimum relative atmospheric humidity (in percents); 
# UNH      = Hourly division in which UN was measured; 
# 
# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH, EV24,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH
# 
  251,20190701,  272,   75,   78,  110,   12,   40,    3,  160,   12,  168,  149,    4,  193,   10,  144,   24,   64,   38, 2088,    0,    0,    0,    1,   36,10166,10206,   24,10134,    3,   61,    1,   80,   14,     ,   77,   93,    2,   65,   12
  251,20190702,  308,   53,   56,   70,   11,   30,   23,  110,    2,  156,  135,   24,  189,   14,  124,   24,  129,   76, 2493,    0,   -1,   -1,    1,   42,10233,10242,   24,10208,    1,   70,    2,   80,    4,     ,   70,   77,    1,   63,   11
  251,20190703,  334,   47,   48,   70,   14,   30,    1,  110,   14,  145,  111,   24,  177,   14,   89,   24,  111,   66, 2464,    0,   -1,   -1,    1,   40,10263,10272,   13,10244,    1,   75,    1,   81,   12,     ,   67,   76,    1,   58,   15
  251,20190704,  261,   52,   55,   90,   14,   20,    1,  120,   15,  158,   70,    4,  197,   13,   59,    6,  109,   65, 2646,    0,   -1,   -1,    1,   44,10230,10264,    1,10180,   24,   70,    2,   82,   10,     ,   71,   89,    3,   58,   15
  251,20190705,  287,   48,   50,   70,    8,   20,   22,  110,   12,  161,  106,   23,  194,   13,   95,   24,   57,   34, 1993,    0,   -1,   -1,    1,   34,10164,10177,    1,10129,   24,   65,   22,   80,   11,     ,   77,   94,   22,   64,   11
  251,20190706,  295,   57,   65,   80,    5,   50,    2,  120,   18,  159,  140,   24,  177,    7,  133,   24,   38,   23, 1262,    9,    1,    1,   10,   21,10111,10127,   24,10092,    7,   64,    5,   80,   19,     ,   75,   86,    1,   62,   15
  251,20190707,  321,   59,   61,   80,   17,   40,   21,  130,   17,  140,  114,   23,  169,   15,  108,   24,   39,   23, 1525,    2,    3,    3,   24,   25,10154,10172,   22,10126,    3,   66,    3,   81,   18,     ,   65,   83,   23,   57,   16
  251,20190708,  328,   58,   60,   70,    2,   50,    6,  130,   21,  136,  110,    1,  164,   15,  108,    6,   43,   26, 1673,   11,   10,    7,    6,   27,10191,10209,   23,10166,    3,   50,   12,   82,   14,     ,   73,   88,    9,   62,   15
  251,20190709,  323,   41,   42,   60,    6,   10,   21,  100,   11,  141,   83,   24,  179,   12,   63,   24,  116,   69, 2617,    0,   -1,   -1,    1,   42,10214,10219,   13,10204,    2,   65,   21,   82,    2,     ,   70,   97,   23,   54,    8
  251,20190710,  214,   47,   50,   80,   11,   10,    1,  110,    9,  146,   90,    1,  164,   17,   72,    6,    0,    0,  545,   34,   24,    8,   10,    9,10184,10211,    1,10145,   24,   26,   24,   83,    6,     ,   85,   95,   23,   55,    8
  251,20190711,  219,   27,   39,   60,   15,   10,   21,   90,   15,  168,  154,   22,  202,   15,  151,    6,   12,    7,  964,   28,   14,    8,    2,   17,10118,10139,    1,10111,   24,   12,    2,   65,   15,     ,   93,   97,    3,   82,   14
  251,20190712,   10,   14,   26,   40,   13,   10,    1,   70,   13,  172,  118,    5,  212,   12,  107,    6,   62,   37, 1980,    0,   -1,   -1,    1,   34,10118,10153,   24,10102,    4,    1,    4,   70,   19,     ,   87,   99,    3,   79,   11
  251,20190713,  343,   50,   51,   70,   12,   30,    4,  100,    9,  158,  141,   24,  182,   11,  139,   24,   26,   16, 1584,    7,    2,    2,    6,   27,10186,10205,   21,10154,    1,   49,   14,   80,   12,     ,   78,   94,    6,   65,   12
  251,20190714,  346,   50,   51,   60,    1,   40,   21,  110,    1,  145,  130,    4,  168,   10,  130,    6,   11,    7, 1141,    9,    6,    4,    4,   19,10207,10212,   12,10197,    5,   60,    8,   80,   10,     ,   78,   91,    4,   69,   10
  251,20190715,  328,   48,   48,   60,    9,   40,    1,  100,    9,  145,  132,    3,  170,   10,  128,    6,   12,    7, 1281,    0,   -1,   -1,    1,   21,10200,10208,    1,10195,   23,   58,    8,   75,    1,     ,   77,   87,    8,   70,    4
