# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DDVEC    = Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable); 
# FHVEC    = Vector mean windspeed (in 0.1 m/s); 
# FG       = Daily mean windspeed (in 0.1 m/s); 
# FHX      = Maximum hourly mean windspeed (in 0.1 m/s); 
# FHXH     = Hourly division in which FHX was measured; 
# FHN      = Minimum hourly mean windspeed (in 0.1 m/s); 
# FHNH     = Hourly division in which FHN was measured; 
# FXX      = Maximum wind gust (in 0.1 m/s); 
# FXXH     = Hourly division in which FXX was measured; 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# TN       = Minimum temperature (in 0.1 degrees Celsius); 
# TNH      = Hourly division in which TN was measured; 
# TX       = Maximum temperature (in 0.1 degrees Celsius); 
# TXH      = Hourly division in which TX was measured; 
# T10N     = Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius); 
# T10NH    = 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
# SQ       = Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour); 
# SP       = Percentage of maximum potential sunshine duration; 
# Q        = Global radiation (in J/cm2); 
# DR       = Precipitation duration (in 0.1 hour); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHX      = Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# RHXH     = Hourly division in which RHX was measured; 
# EV24     = Potential evapotranspiration (Makkink) (in 0.1 mm); 
# PG       = Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values; 
# PX       = Maximum hourly sea level pressure (in 0.1 hPa); 
# PXH      = Hourly division in which PX was measured; 
# PN       = Minimum hourly sea level pressure (in 0.1 hPa); 
# PNH      = Hourly division in which PN was measured; 
# VVN      = Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVNH     = Hourly division in which VVN was measured; 
# VVX      = Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Hourly division in which VVX was measured; 
# NG       = Mean daily cloud cover (in octants, 9=sky invisible); 
# UG       = Daily mean relative atmospheric humidity (in percents); 
# UX       = Maximum relative atmospheric humidity (in percents); 
# UXH      = Hourly division in which UX was measured; 
# UN       = Minimum relative atmospheric humidity (in percents); 
# UNH      = Hourly division in which UN was measured; 
# 
# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH, EV24,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH
# 
  251,19990701,  208,   69,   70,   90,   12,   50,    4,  120,   10,  162,  144,   14,  182,   10,  146,   18,   13,    8, 1055,    0,   -1,   -1,   14,   18,10164,10186,    1,10145,   24,     ,     ,     ,     ,     ,   89,   95,   23,   78,   11
  251,19990702,  232,   18,   26,   50,    1,   10,   10,   80,    1,  165,  137,   24,  190,   17,  115,   24,   24,   14, 1066,   18,    9,    6,    4,   18,10149,10161,   11,10136,    3,     ,     ,     ,     ,     ,   90,   98,    5,   65,   13
  251,19990703,  185,   30,   64,  100,   17,   30,    1,  160,   17,  181,  141,    1,  213,    9,  139,    6,   35,   21, 1405,   20,  149,  115,   11,   25,10090,10134,    1,10063,   13,     ,     ,     ,     ,     ,   92,   98,    1,   85,   10
  251,19990704,  251,   10,   49,   60,   22,   30,   16,   90,   22,  180,  158,    4,  211,   17,  154,    6,   82,   49, 2212,   15,   18,   14,   24,   39,10102,10111,   13,10090,    3,     ,     ,     ,     ,     ,   88,   96,    4,   69,   17
  251,19990705,   10,   57,   66,  100,    3,   40,   19,  160,    3,  154,  113,   24,  167,    6,  101,   24,    0,    0,  342,   89,  102,   23,   10,    6,10093,10125,   23,10064,    4,     ,     ,     ,     ,     ,   96,   98,   12,   94,    9
  251,19990706,  313,   29,   30,   40,    1,   20,   20,   60,    8,  156,   98,    1,  194,   13,   90,    6,   83,   49, 2080,    0,    0,    0,    1,   35,10161,10190,   22,10125,    3,     ,     ,     ,     ,     ,   89,  100,    5,   77,   16
  251,19990707,  291,   21,   33,   50,   10,   10,    1,   80,   16,  168,   95,    3,  220,   15,   89,    6,   80,   48, 2388,    0,    0,    0,    1,   41,10228,10272,   24,10193,    1,     ,     ,     ,     ,     ,   90,  100,    4,   80,   10
  251,19990708,   10,   31,   33,   50,   16,   10,    3,   80,   16,  168,  130,    2,  202,   13,  111,    6,  109,   65, 2537,    0,    0,    0,    1,   44,10302,10315,   21,10273,    1,     ,     ,     ,     ,     ,   86,   97,    3,   71,   13
  251,19990709,   55,   53,   54,   80,   16,   30,    1,  120,   17,  175,  120,    4,  208,   16,  107,    6,  146,   87, 2834,    0,    0,    0,    1,   49,10300,10318,    7,10276,   24,     ,     ,     ,     ,     ,   83,   96,    1,   71,   17
  251,19990710,   61,   63,   64,   80,   11,   40,    3,  120,   15,  185,  131,    3,  221,   13,  124,    6,  138,   83, 2698,    0,    0,    0,    1,   48,10247,10273,    1,10225,   24,     ,     ,     ,     ,     ,   81,   93,   24,   66,   15
  251,19990711,   39,   68,   69,   80,   11,   50,    1,  120,   16,  193,  172,    3,  216,   11,  168,    6,  138,   83, 2889,    0,    0,    0,    1,   52,10212,10224,    1,10194,   24,     ,     ,     ,     ,     ,   88,   96,    4,   80,   10
  251,19990712,   27,   59,   61,   80,   12,   40,    4,  110,    8,  195,  172,    4,  218,   11,  167,    6,  137,   82, 2770,    0,    0,    0,    1,   50,10152,10189,    1,10107,   24,     ,     ,     ,     ,     ,   88,   95,   23,   81,   11
  251,19990713,  333,   36,   46,   60,    1,   20,   21,   90,    1,  179,  116,   22,  210,   11,  112,   24,   40,   24, 1538,    0,   -1,   -1,   14,   27,10061,10100,    1,10029,   24,     ,     ,     ,     ,     ,   93,   98,    4,   88,   19
  251,19990714,  275,   71,   72,  100,   10,   40,    3,  140,    9,  164,  140,   24,  192,   12,  134,   24,   90,   54, 2173,    5,    2,    2,    3,   37,10054,10091,   24,10020,    4,     ,     ,     ,     ,     ,   77,   95,    1,   66,   16
  251,19990715,  256,   60,   62,  100,   10,   30,   21,  150,   12,  156,   93,   22,  196,   10,   76,   24,   94,   57, 2180,    3,    1,    1,    5,   36,10114,10144,   24,10091,    2,     ,     ,     ,     ,     ,   75,   92,   23,   62,    9
  251,19990716,  243,   70,   71,  100,   14,   50,    1,  130,   12,  174,  128,    1,  206,   14,  122,    6,   88,   53, 2365,    0,    0,    0,    1,   41,10167,10184,   18,10144,    1,     ,     ,     ,     ,     ,   82,   94,   23,   71,   14
